,floor,hour,direction,avgWait_weekend
0,1,0,down,5.568888888888889
1,1,0,up,4.178571428571429
2,1,1,down,14.637142857142859
3,1,1,up,5.115
4,1,2,down,7.328
5,1,2,up,9.045000000000002
6,1,3,down,6.244285714285715
7,1,3,up,1.26
8,1,4,down,9.148
9,1,4,up,1.6
10,1,5,down,6.638888888888889
11,1,5,up,7.802222222222222
12,1,6,down,18.872307692307693
13,1,6,up,16.93581818181818
14,1,7,down,17.048979591836734
15,1,7,up,16.547500000000003
16,1,8,down,15.914444444444447
17,1,8,up,16.644338624338623
18,1,9,down,13.076774193548387
19,1,9,up,18.816333333333333
20,1,10,down,11.251279069767442
21,1,10,up,17.769829545454545
22,1,11,down,10.168
23,1,11,up,16.7803164556962
24,1,12,down,12.800916666666668
25,1,12,up,18.973076923076924
26,1,13,down,12.498555555555555
27,1,13,up,16.5555421686747
28,1,14,down,12.737857142857143
29,1,14,up,18.86503311258278
30,1,15,down,10.513953488372094
31,1,15,up,17.648432835820895
32,1,16,down,9.260329670329671
33,1,16,up,18.733309352517985
34,1,17,down,10.63153846153846
35,1,17,up,16.715230769230768
36,1,18,down,11.65485294117647
37,1,18,up,12.927159090909093
38,1,19,down,13.947111111111111
39,1,19,up,12.016170212765957
40,1,20,down,10.96
41,1,20,up,9.665
42,1,21,down,9.185555555555556
43,1,21,up,14.282307692307691
44,1,22,down,5.733333333333333
45,1,22,up,10.514565217391304
46,1,23,down,16.8075
47,1,23,up,11.257222222222222
48,2,0,down,18.8
49,2,0,up,13.936666666666667
50,2,1,down,9.18
51,2,1,up,9.54
52,2,2,down,21.46
53,2,5,down,19.07
54,2,6,down,21.0275
55,2,7,down,14.075999999999999
56,2,7,up,1.35
57,2,8,down,18.524285714285714
58,2,8,up,7.180000000000001
59,2,9,down,12.659117647058824
60,2,9,up,13.977142857142857
61,2,10,down,13.85070588235294
62,2,10,up,12.48
63,2,11,down,13.33277108433735
64,2,11,up,13.201666666666668
65,2,12,down,11.215245901639346
66,2,12,up,15.106363636363636
67,2,13,down,16.012739726027394
68,2,13,up,8.047692307692309
69,2,14,down,11.00619718309859
70,2,14,up,12.866363636363637
71,2,15,down,11.091772151898734
72,2,15,up,14.088823529411764
73,2,16,down,9.372857142857143
74,2,16,up,12.238636363636363
75,2,17,down,12.416774193548388
76,2,17,up,15.301666666666668
77,2,18,down,12.233846153846153
78,2,18,up,15.55
79,2,19,down,19.970833333333335
80,2,19,up,6.2775
81,2,20,down,13.82076923076923
82,2,20,up,12.013333333333335
83,2,21,down,6.708333333333333
84,2,22,down,13.934545454545455
85,2,22,up,9.41
86,2,23,down,26.97222222222222
87,2,23,up,1.02
88,3,0,down,15.035
89,3,1,down,31.36
90,3,2,down,14.93
91,3,2,up,10.175
92,3,3,down,10.3
93,3,3,up,0.64
94,3,4,down,15.9
95,3,5,down,2.75
96,3,6,down,17.962
97,3,7,down,14.361333333333334
98,3,7,up,2.27
99,3,8,down,16.901538461538465
100,3,8,up,10.864
101,3,9,down,14.419375
102,3,9,up,11.719999999999999
103,3,10,down,13.40725806451613
104,3,10,up,15.54
105,3,11,down,12.276363636363635
106,3,11,up,12.417878787878788
107,3,12,down,14.663048780487804
108,3,12,up,14.735833333333334
109,3,13,down,12.302987012987012
110,3,13,up,15.324166666666668
111,3,14,down,14.77
112,3,14,up,12.220624999999998
113,3,15,down,13.494117647058824
114,3,15,up,20.978
115,3,16,down,13.415176470588236
116,3,16,up,14.384615384615385
117,3,17,down,13.50172131147541
118,3,17,up,18.29
119,3,18,down,11.81532258064516
120,3,18,up,11.39
121,3,19,down,15.204285714285716
122,3,19,up,6.14
123,3,20,down,15.808800000000002
124,3,20,up,26.119999999999997
125,3,21,down,13.121875
126,3,21,up,20.543333333333333
127,3,22,down,16.7675
128,3,22,up,11.74
129,3,23,down,8.378571428571428
130,4,0,down,19.498571428571427
131,4,1,down,18.880000000000003
132,4,2,down,18.245
133,4,3,up,1.62
134,4,3,down,21.32
135,4,4,down,16.565
136,4,5,down,3.725
137,4,6,down,6.771666666666666
138,4,7,down,20.368695652173912
139,4,7,up,18.34
140,4,8,down,21.597499999999997
141,4,8,up,7.615
142,4,9,down,20.469509803921568
143,4,9,up,6.178333333333334
144,4,10,down,18.82911111111111
145,4,10,up,13.344000000000001
146,4,11,down,16.096880733944953
147,4,11,up,14.66
148,4,12,down,18.416140350877193
149,4,12,up,25.426
150,4,13,down,17.35440860215054
151,4,13,up,16.8625
152,4,14,down,20.36027027027027
153,4,14,up,16.045714285714286
154,4,15,down,16.791896551724136
155,4,15,up,7.0424999999999995
156,4,16,down,17.15
157,4,16,up,13.574000000000002
158,4,17,down,17.268793103448274
159,4,17,up,21.465
160,4,18,down,18.868
161,4,18,up,20.93166666666667
162,4,19,down,13.998275862068965
163,4,19,up,14.0
164,4,20,down,17.629827586206897
165,4,20,up,22.435000000000002
166,4,21,down,16.826
167,4,21,up,30.1575
168,4,22,down,10.977142857142857
169,4,23,down,13.293846153846154
170,4,23,up,3.2
171,5,0,down,22.418
172,5,1,down,18.66
173,5,2,down,20.52
174,5,3,down,1.8166666666666667
175,5,4,down,25.38
176,5,5,down,8.625
177,5,6,down,15.519
178,5,7,down,18.249444444444446
179,5,8,down,22.605913978494623
180,5,9,down,19.025384615384613
181,5,10,down,20.465
182,5,11,down,27.70315789473684
183,5,12,down,28.253448275862066
184,5,13,down,26.416036036036033
185,5,14,down,20.17524193548387
186,5,15,down,22.60782258064516
187,5,16,down,20.644066666666667
188,5,17,down,19.15482269503546
189,5,18,down,17.96919642857143
190,5,19,down,16.58609195402299
191,5,20,down,17.939999999999998
192,5,21,down,11.257708333333333
193,5,22,down,12.701363636363636
194,5,23,down,14.467647058823529
195,B1,0,up,5.3042105263157895
196,B1,1,up,3.293636363636364
197,B1,2,up,4.756666666666667
198,B1,3,up,6.1431249999999995
199,B1,4,up,12.998571428571427
200,B1,5,up,8.554615384615385
201,B1,6,up,17.669629629629632
202,B1,7,up,26.59875
203,B1,8,up,29.94589189189189
204,B1,9,up,27.89859756097561
205,B1,10,up,26.487950310559008
206,B1,11,up,31.445449438202246
207,B1,12,up,37.54027027027028
208,B1,13,up,34.78666666666667
209,B1,14,up,28.434917127071824
210,B1,15,up,29.5847619047619
211,B1,16,up,24.31710227272727
212,B1,17,up,24.226684210526315
213,B1,18,up,20.39090395480226
214,B1,19,up,19.422108433734937
215,B1,20,up,13.425185185185185
216,B1,21,up,13.218333333333334
217,B1,22,up,13.892790697674418
218,B1,23,up,20.041212121212123
